Hyperlink,URL,Title,Page Power,Size,Words,Modified,Match Words,Match Percentage,Match Pages,Match Words (with common),Match Percentage (with common),Match Pages (with common),Broken Links Out,Links Out,Links In,Skip Reason,Redirected to
https://eciru.ir/بزرگترین-قرارداد-تاریخ-بوئینگ,بزرگترین-قرارداد-تاریخ-بوئینگ,قطر ایرویز با قرارداد ۲۰۰ میلیارد دلاری، بزرگ‌ترین سفارش تاریخ بوئینگ را ثبت کرد - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,192,"1,381","10:22, 4 Jul, 2025",15,1%,1,"1,238",90%,32,0,99,245,,
https://eciru.ir/رایزنی-درباره-اصفهان-تهران-کازان-روسی,رایزنی-درباره-اصفهان-تهران-کازان-روسی,رایزنی درباره همکاری اصفهان و تهران با کازان روسیه - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,193,"1,522","10:22, 4 Jul, 2025",0,0%,0,"1,204",79%,10,0,99,245,,
https://eciru.ir/تقدیر-همراه-اول-از-برگزیدگان-برق,تقدیر-همراه-اول-از-برگزیدگان-برق,تقدیر همراه اول از رساله برتر مهندسی برق - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,191,"1,573","10:20, 4 Jul, 2025",35,2%,3,"1,222",78%,27,0,99,245,,
https://eciru.ir/اجرای-تجارت-آزاد-بین-ایران-اوراسیا,اجرای-تجارت-آزاد-بین-ایران-اوراسیا,اجرایی شدن موافقتنامه‌ تجارت آزاد بین ایران و اتحادیه اقتصادی اوراسیا - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,195,"1,687","10:22, 4 Jul, 2025",49,3%,3,"1,250",74%,16,0,99,245,,
https://eciru.ir/شرایط-کسب-و-کارهای-خارجی-روسیه,شرایط-کسب-و-کارهای-خارجی-روسیه,شرایط بازگشت کسب‌ و کارهای خارجی به روسیه - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,189,"1,332","10:22, 4 Jul, 2025",17,1%,1,"1,199",90%,10,0,99,245,,
https://eciru.ir/برگزاری-دهمین-اجلاس-کار-گروه-خزر,برگزاری-دهمین-اجلاس-کار-گروه-خزر,برگزاری دهمین اجلاس کار گروه مقامات عالی‌ رتبه در مورد مسائل دریای خزر - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,7,191,"1,390","10:23, 4 Jul, 2025",0,0%,0,"1,209",87%,10,0,100,10,,
https://eciru.ir/خانه-روسیه-در-تهران-افتتاح-می-شود,خانه-روسیه-در-تهران-افتتاح-می-شود,به زودی خانه روسیه در تهران افتتاح می شود - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,6,194,"1,780","10:23, 4 Jul, 2025",44,2%,2,"1,230",69%,6,0,100,12,,
https://eciru.ir/امضای-تفاهم-نامه-راسیا-سیگودنیا-و-عمان,امضای-تفاهم-نامه-راسیا-سیگودنیا-و-عمان,امضای تفاهم نامه بین گروه رسانه ای «راسیا سیگودنیا» و وزارت اطلاعات عمان - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,6,192,"1,341","10:24, 4 Jul, 2025",16,1%,1,"1,198",89%,5,0,100,8,,
https://eciru.ir/تسریع-ساخت-راهآهن-رشت-آستارا,تسریع-ساخت-راهآهن-رشت-آستارا,رایزنی ایران و روسیه درباره تسریع ساخت راه‌آهن رشت-آستارا - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,5,191,"1,423","10:25, 4 Jul, 2025",0,0%,0,"1,198",84%,3,0,100,10,,
https://eciru.ir/ارزیابی-امنیتی-اوراسیا-خاورمیانه,ارزیابی-امنیتی-اوراسیا-خاورمیانه,نشست ارزیابی امنیتی اوراسیا و خاورمیانه - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,6,190,"1,403","10:23, 4 Jul, 2025",16,1%,1,"1,226",87%,9,0,100,10,,
https://eciru.ir/اتباع-غیرمجاز-و-اشغال-فرصت-ها,اتباع-غیرمجاز-و-اشغال-فرصت-ها,اتباع غیرمجاز فرصت‌های زیاد شغلی را اشغال کرده‌اند - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,189,"1,358","10:22, 4 Jul, 2025",19,1%,1,"1,232",91%,21,0,99,245,,
https://eciru.ir/سفر-هیأت-رسانهای-ایران-به-روسیه,سفر-هیأت-رسانهای-ایران-به-روسیه,سفر هیأت رسانه‌ای ایران به روسیه - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,191,"1,496","10:21, 4 Jul, 2025",538,36%,8,"1,204",80%,19,0,99,245,,
https://eciru.ir/ترینهای-لیگ-بیست-و-چهارم-فوتبال,ترینهای-لیگ-بیست-و-چهارم-فوتبال,«ترین‌های» لیگ بیست و چهارم فوتبال - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,190,"1,453","10:21, 4 Jul, 2025",19,1%,2,"1,205",83%,26,0,99,245,,
https://eciru.ir/نمایشگاه-بین-المللی-گل-تهران-1404,نمایشگاه-بین-المللی-گل-تهران-1404,نمایشگاه بین‌المللی گل و گیاه تهران ۱۴۰۴ - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,198,"1,683","10:21, 4 Jul, 2025",0,0%,0,"1,180",70%,9,0,99,245,,
https://eciru.ir/پیام-تبریک-وزیر-امور-خارجه-به-پاپ-لئون,پیام-تبریک-وزیر-امور-خارجه-به-پاپ-لئون,پیام تبریک وزیر امور خارجه به پاپ لئون چهاردهم رهبر جدید کاتولیک‌های جهان - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,193,"1,575","10:21, 4 Jul, 2025",16,1%,1,"1,222",78%,28,0,98,245,,
https://eciru.ir/قیمت-دارو-در-آمریکا-را-تا-۸۰-درصد-کاهش,قیمت-دارو-در-آمریکا-را-تا-۸۰-درصد-کاهش,ترامپ قیمت دارو در آمریکا را تا ۸۰ درصد کاهش می‌دهد - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,192,"1,542","10:21, 4 Jul, 2025",29,2%,1,"1,210",78%,11,0,99,245,,
https://eciru.ir/خورشید-زندگی-روی-زمین-را-نابود-خواهد-کر,خورشید-زندگی-روی-زمین-را-نابود-خواهد-کر,خورشید زندگی روی زمین را نابود خواهد کرد! - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,191,"1,420","10:21, 4 Jul, 2025",16,1%,1,"1,237",87%,21,0,99,245,,
https://eciru.ir/منتظر-سرعت-اینترنت-500-مگ-واقعی-باشید,منتظر-سرعت-اینترنت-500-مگ-واقعی-باشید,منتظر سرعت اینترنت 500 مگ واقعی باشید - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,191,"1,508","10:21, 4 Jul, 2025",15,1%,1,"1,196",79%,11,0,99,245,,
https://eciru.ir/one-ui-8-خبر-خوب-برای-کاربران-سامسونگ,one-ui-8-خبر-خوب-برای-کاربران-سامسونگ,خبر خوب برای کاربران سامسونگ: تا چند روز دیگر طعم One UI 8 را می‌چشید - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,192,"1,688","10:22, 4 Jul, 2025",17,1%,1,"1,213",72%,10,0,99,245,,
https://eciru.ir/تحریم-های-جدید-آمریکا-علیه-ایران,تحریم-های-جدید-آمریکا-علیه-ایران,تحریم‌ های جدید آمریکا علیه ایران - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,189,"1,320","10:22, 4 Jul, 2025",28,2%,1,"1,210",92%,10,0,99,245,,
https://eciru.ir/دور-سوم-مذاکرات-ایران-و-آمریکا,دور-سوم-مذاکرات-ایران-و-آمریکا,دور سوم مذاکرات ایران و آمریکا موفقیت آمیز بود - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,5,189,"1,313","10:26, 4 Jul, 2025",0,0%,0,"1,195",91%,10,0,100,4,,
https://eciru.ir/انتخابات-2,انتخابات-2,تاریخ برگزاری انتخابات مجلس شورای اسلامی و مجلس خبرگان رهبری مشخص شد - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,4,190,"1,623","10:20, 4 Jul, 2025",15,1%,1,"1,215",75%,26,0,100,2,,
https://eciru.ir/تشکیل-شورای-حل-اختلاف-ویژه-ایرانیان,تشکیل-شورای-حل-اختلاف-ویژه-ایرانیان,به اختلافات مالی ایرانیان خارج از کشور رسیدگی می شود - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,7,208,"1,838","10:23, 4 Jul, 2025",29,2%,1,"1,206",66%,7,0,112,7,,
https://eciru.ir/حراج-شمش-طلا-۲۱-اردیبهشت-1404,حراج-شمش-طلا-۲۱-اردیبهشت-1404,حراج شمش طلا ۲۱ اردیبهشت برگزار می‌شود - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,188,"1,325","10:21, 4 Jul, 2025",0,0%,0,"1,205",91%,16,0,99,245,,
https://eciru.ir/دلار-وارد-کانال-۷۰-هزار-تومان-شد,دلار-وارد-کانال-۷۰-هزار-تومان-شد,دلار وارد کانال ۷۰ هزار تومان شد - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,4,190,"1,403","10:20, 4 Jul, 2025",18,1%,1,"1,206",86%,34,0,100,2,,
https://eciru.ir/چانگان-cs55-پلاس-فیس-لیفت,چانگان-cs55-پلاس-فیس-لیفت,چانگان CS55 پلاس فیس‌ لیفت وارد بازار چین شد - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,6,192,"1,664","10:25, 4 Jul, 2025","1,182",71%,2,"1,182",71%,2,0,100,5,,
https://eciru.ir/فورت-ناکس-دیجیتال-توسط-ترامپ,فورت-ناکس-دیجیتال-توسط-ترامپ,راه اندازی فورت ناکس دیجیتال توسط ترامپ - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,5,192,"1,623","10:20, 4 Jul, 2025",19,1%,1,"1,206",74%,19,0,100,3,,
